car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
TOYOTA,HARRIER,26000.0,2000.0,Automatic Transmission,Petrol,RHD,Other,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2021,5157650.0
MERCEDES,S CLASS,63000.0,3982.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018,12155848.999999987
KIA,STINGER,20000.0,2497.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,5411724.0
TOYOTA,PRIUS,31000.0,1800.0,Automatic Transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,1,2019,4883891.0
TOYOTA,NOAH,45000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016,2531323.0
GENESIS,G80,123000.0,3470.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020,5423816.0
NISSAN,NOTE,37000.0,1200.0,Automatic Transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018,4883891.0
TOYOTA,LAND CRUISER HARD TOP V8 3 DOOR WITH REAR SEATS 2023,1000.0,900.0,Automatic Transmission,Petrol,LHD,4WD,7 Seats,3 Doors,suv,1,1,0,1,0,0,1,0,2023,8878476.0
LEXUS,RX,46000.0,3456.0,Automatic Transmission,Hybrid,LHD,2WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2016,5790952.0
BMW,3 SERIES,22000.0,2998.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022,4883891.0
GENESIS,G80,33000.0,3342.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,5032811.0
Abarth,595,14000.0,1400.0,Automatic Transmission,Petrol,RHD,Other,4 Seats,3 Doors,hatchback,1,1,0,1,0,0,1,1,2020,2662914.0
TOYOTA,CROWN HYBRID,19000.0,2500.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020,4348788.0
GENESIS,GV80,34000.0,2996.0,Automatic Transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2020,8777191.0
